Name,Style,Brewery,ABV,rating,minIBU,maxIBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
Brekle's Brown,Brown Ale - American,Anchor Brewing Company,6,3.71,25,45,21,49,7,61,60,29,0,42,64,0,82
Bitch Creek American Brown Ale,Brown Ale - American,Grand Teton Brewing Co.,6,3.76,25,45,15,67,20,95,54,28,0,23,98,4,103
Bellaire Brown Ale,Brown Ale - American,Short's Brewing Company,7,3.82,25,45,11,63,10,24,72,5,0,11,22,4,118
George,Brown Ale - American,Hill Farmstead Brewery,6,4.13,25,45,14,68,5,66,58,16,0,19,67,7,133
Dirty Little Freak,Brown Ale - American,DuClaw Brewing Company,5.8,3.75,25,45,5,86,11,22,80,1,0,59,13,25,104
Brown Ale,Brown Ale - American,The Duck-Rabbit Craft Brewery,5.6,3.73,25,45,15,71,11,93,47,12,1,13,97,10,99
Board Meeting,Brown Ale - American,Port Brewing,8,4.17,25,45,10,100,20,90,85,9,0,17,36,11,142
Humboldt Brown (Ale Brewed With Hemp),Brown Ale - American,Humboldt Brewing Co.,5.7,3.49,25,45,6,50,2,32,43,9,0,11,32,4,96
Dos Perros,Brown Ale - American,Yazoo Brewing Company,4.9,3.65,25,45,12,52,1,29,56,4,2,5,25,8,127
Imperial Nut Brown Ale,Brown Ale - American,Tommyknocker Brewery,9,3.75,25,45,12,60,40,60,131,16,0,25,44,4,167
Okie,Brown Ale - American,Prairie Artisan Ales,12,4.14,25,45,5,82,88,22,105,15,0,20,16,34,125
Peter Brown Tribute Ale,Brown Ale - American,Bear Republic Brewing Co.,6.3,3.89,25,45,11,62,14,67,97,9,0,15,49,15,137
Underground Mountain Brown,Brown Ale - American,Founders Brewing Company,11.9,4.36,25,45,6,80,77,79,57,4,0,5,19,26,177
Good Humans Ale (Dry Hopped Double Brown Ale),Brown Ale - American,Short's Brewing Company,9.15,3.83,25,45,16,59,20,65,65,24,0,26,90,8,117
Decadent Dark Chocolate Ale,Brown Ale - American,Atwater Brewery,4.5,3.74,25,45,12,123,15,21,95,4,0,1,4,26,116
Sweet Josie Brown Ale,Brown Ale - American,Lonerider Brewing Company,6.1,3.8,25,45,8,57,7,29,76,6,0,9,23,3,103
No Crusts,Brown Ale - American,Funky Buddha Brewery,6,4.2,25,45,20,77,8,17,96,26,3,68,36,1,148
Bravo 2017,Brown Ale - American,Firestone Walker Brewing Co.,13.2,4.29,25,45,7,38,45,20,71,16,2,22,15,20,95
Festivity Ale,Brown Ale - American,Goose Island Beer Co.,7.7,3.66,25,45,12,50,23,28,100,27,0,60,28,28,90
Flashback Ale,Brown Ale - American,Boulder Beer / Wilderness Pub,6.8,3.78,25,45,17,74,15,98,48,31,2,30,122,17,118
French Toast,Brown Ale - American,Funky Buddha Brewery,8.8,4.33,25,45,9,51,18,7,140,7,0,1,4,69,113
He'Brew Messiah Nut Brown Ale,Brown Ale - American,Shmaltz Brewing Company,5.2,3.6,25,45,5,36,4,30,57,14,0,13,30,8,103
Snow Roller,Brown Ale - American,Magic Hat Brewing Company,6.2,3.46,25,45,14,44,7,56,45,8,0,11,75,5,84
